,Year,Month,NSA_Value,SA_Value,NSA_Change,SA_Change,NSA_PctChange,SA_PctChange,Year_Month
28,2018.0,07,188.29484933,185.22898302,0.59928266,0.60455535999998,0.0031928439793873,0.0032745144706058,2018-07
29,2018.0,06,187.69556667,184.62442766,1.1863545,0.59643872000001,0.0063608359404717,0.003241021778456,2018-06
30,2018.0,05,186.50921217,184.02798894,1.67047466,0.6036130000000001,0.0090374706217069,0.0032908003470457,2018-05
31,2018.0,04,184.83873751,183.42437594,1.99501255,0.66989848,0.010911025524318002,0.0036655653492628,2018-04
32,2018.0,03,182.84372496,182.75447746,2.06522195,0.96301799,0.011424046087414,0.0052973775160154,2018-03
33,2018.0,02,180.77850301,181.79145947,1.58266057,1.34208455,0.0088320161252063,0.0074374574619336,2018-02
34,2018.0,01,179.19584244,180.44937492,0.8050815100000099,1.14746664,0.0045130224558878,0.0063996342872609,2018-01
35,2018.0,12,178.39076093,179.30190828,0.29866809999999,1.07621019,0.0016770430132745,0.0060384680858791,2017-12
36,2018.0,11,178.09209283,178.22569809,0.08608952000000199,0.98597259000002,0.00048363267754557,0.0055629322784074,2017-11
37,2017.0,10,178.00600331,177.2397255,0.03028501,0.92966644999998,0.0001701637183391,0.0052729064638129,2017-10
38,2017.0,09,177.9757183,176.31005905,0.13282005000002,0.9674004,0.00074683921206295,0.0055171993367058,2017-09
39,2017.0,08,177.84289825,175.34265865,0.46083361999999,0.99264683999999,0.0025979719029725,0.0056934142400962,2017-08
40,2017.0,07,177.38206463,174.35001181,0.92980030999999,0.92322567000002,0.0052694155758397,0.0053234318097479,2017-07
41,2017.0,06,176.45226432,173.42678614,1.45506303,0.83539629999998,0.0083147788608844,0.0048403127222884,2017-06
42,2017.0,05,174.99720129,172.59138984,2.03774573,0.93398876,0.01178163820765,0.0054410048976841,2017-05
43,2017.0,04,172.95945556,171.65740108,2.30998207,0.97388447,0.013536414867024999,0.0057057909828824,2017-04
44,2017.0,03,170.64947349,170.68351661,1.97889721,0.91509925,0.011732320204532,0.0053902796776358,2017-03
45,2017.0,02,168.67057628,169.76841736,1.21632588,0.96618996000001,0.0072636309743978,0.0057237986422447,2017-02
46,2017.0,01,167.4542504,168.8022274,0.51086418,0.94400263,0.0030601043357703,0.0056238092074039,2017-01
47,2017.0,12,166.94338622,167.85822477,0.13579926,0.93438658,0.00081410721463505,0.0055976820934134,2016-12
48,2017.0,11,166.80758696,166.92383819,0.0024742800000013,0.8742401400000099,1.4833358284095e-05,0.005264933792473,2016-11
49,2016.0,10,166.80511268,166.04959805,-0.030886189999990002,0.85275281,-0.00018512905014017,0.0051620405266282,2016-10
50,2016.0,09,166.83599887,165.19684524,0.028328319999986,0.86758251999998,0.00016982624304135,0.005279537592025,2016-09
51,2016.0,08,166.80767055,164.32926272,0.31562977000002,0.84200776,0.0018957649177782,0.005150296028923001,2016-08
52,2016.0,07,166.49204078,163.48725496,0.84751291999999,0.80008615,0.0051164558886985,0.0049179425510466,2016-07
53,2016.0,06,165.64452786,162.68716881,1.52581464,0.83793994999999,0.0092970180551847,0.0051772872561834,2016-06
54,2016.0,05,164.11871322,161.84922886,1.96273239,0.82544968000002,0.012103977787027998,0.0051262595139895,2016-05
55,2016.0,04,162.15598083,161.02377918,2.02598269,0.71952277999998,0.012652112118485,0.0044884820662814,2016-04
56,2016.0,03,160.12999814,160.3042564,1.75101747,0.72163212000001,0.011055870309258002,0.004521996822999,2016-03
57,2016.0,02,158.37898067,159.58262428,0.94765537000001,0.7122986,0.0060194841667893,0.0044835219979011,2016-02
58,2016.0,01,157.4313253,158.87032568,0.095935730000008,0.62610404,0.00060975302671701,0.0039565681041066,2016-01
59,2016.0,12,157.33538957,158.24422164,-0.13211484000001,0.70648725000001,-0.00083899748392548,0.0044845589073347,2015-12
60,2016.0,11,157.46750441,157.53773439,-0.050218400000006,0.81843240999999,-0.00031881110965894,0.005222282129003,2015-11
61,2015.0,10,157.51772281,156.71930198,-0.051454179999979005,0.81507968000002,-0.00032654977948666,0.0052280795733139,2015-10
62,2015.0,09,157.56917699,155.90422230000001,-0.034877490000014,0.7877261199999699,-0.00022129817735392997,0.005078287218955,2015-09
63,2015.0,08,157.60405448,155.11649618,0.2884454,0.79514347,0.0018335459633463,0.0051525174970066,2015-08
64,2015.0,07,157.31560908,154.32135271,0.91697812000001,0.81665499000002,0.0058630827800183,0.0053200651324016,2015-07
65,2015.0,06,156.39863096,153.50469772,1.57651458,0.79980774999998,0.010182747897145001,0.0052376040489412,2015-06
66,2015.0,05,154.82211638,152.70488997,1.9265870999999999,0.7567859500000199,0.012600676481991,0.0049805554000227,2015-05
67,2015.0,04,152.89552928,151.94810402,1.94927802,0.67836047,0.012913722624634,0.0044844425202306,2015-04
68,2015.0,03,150.94625126,151.26974355,1.65726414,0.66618104999998,0.011101047518447,0.0044234083108092,2015-03
69,2015.0,02,149.28898712,150.6035625,0.82177154999999,0.63940058,0.0055350371248294,0.0042636892162348,2015-02
70,2015.0,01,148.46721557,149.96416192,0.05079624000001099,0.6666471500000201,0.00034225485447851004,0.0044652260355909,2015-01
71,2015.0,12,148.41641933,149.29751477,-0.18919685,0.67734605999999,-0.0012731473739918,0.0045575648707659,2014-12
72,2015.0,11,148.60561618,148.62016871,-0.13647877,0.74471904000001,-0.00091755309783605,0.0050361235868559,2014-11
73,2014.0,10,148.74209495,147.87544967,-0.14969914,0.67688211000001,-0.0010054223667256,0.0045984286479154,2014-10
74,2014.0,09,148.89179409,147.19856756,-0.23590119000002,0.53848305,-0.0015818737730579997,0.0036716401180259995,2014-09
75,2014.0,08,149.12769528,146.66008451,0.05199073,0.53330205,0.00034875387748084,0.0036495845663747,2014-08
76,2014.0,07,149.07570455,146.12678246,0.70191126,0.56824705,0.0047306956601703,0.0039039074445164,2014-07
77,2014.0,06,148.37379329,145.55853541,1.26178563,0.42392221999998,0.008577040379438001,0.0029208898599882,2014-06
78,2014.0,05,147.11200766,145.13461319,1.58773119,0.42083958000001,0.010910421467219999,0.0029080824133172,2014-05
79,2014.0,04,145.52427647,144.71377361,1.75212901,0.47867366,0.012186845929163,0.0033187043941865,2014-04
80,2014.0,03,143.77214746,144.23509995,1.53900849,0.60644753,0.010820322894826,0.004222329735619999,2014-03
81,2014.0,02,142.23313897,143.62865242,0.80716813999999,0.67216781000002,0.005707354421984,0.0047019050016077,2014-02
82,2014.0,01,141.42597083,142.95648461,0.05752000000001099,0.74987614999998,0.0004068800334325,0.0052731455881033,2014-01
83,2014.0,12,141.36845083,142.20660846,-0.24885121,0.63521675000001,-0.0017572090868509,0.0044869005123663,2013-12
84,2014.0,11,141.61730204,141.57139171,-0.23036171000001002,0.66155465,-0.0016240077834910004,0.0046948791071152,2013-11
85,2013.0,10,141.84766375,140.90983706,-0.10510724,0.68473628000001,-0.00074043809970712,0.0048831220387161,2013-10
86,2013.0,09,141.95277099,140.22510078,0.10314314000001,0.79097856999999,0.00072713014170953,0.0056727762004247,2013-09
87,2013.0,08,141.84962785,139.43412221,0.64549681999998,1.06672873,0.0045713734810126,0.0077093938331228,2013-08
88,2013.0,07,141.20413103,138.36739348,1.51155164,1.34957961,0.010820557875017999,0.0098496653236671,2013-07
89,2013.0,06,139.69257939,137.01781387,2.17488932,1.30382648,0.01581534214902,0.0096071636024753,2013-06
90,2013.0,05,137.51769007,135.71398739,2.45095424,1.31910267,0.018146246186662,0.0098151255737764,2013-05
91,2013.0,04,135.06673583,134.39488472,2.4686232999999995,1.24933704,0.018617333632419,0.0093832430882528,2013-04
92,2013.0,03,132.59811253,133.14554768,2.12014045,1.31159315,0.016249029749634998,0.0099488265726075,2013-03
93,2013.0,02,130.47797208,131.83395453,1.3422543,1.27631722,0.010394136673222,0.0097758909114561,2013-02
94,2013.0,01,129.13571778,130.55763731,0.46240624999999,1.17051207,0.0035936453682719,0.0090465884285536,2013-01
95,2013.0,12,128.67331153,129.38712524,0.0056762700000092,0.84324561,4.4115755982763e-05,0.0065599825711437,2012-12
96,2013.0,11,128.66763526,128.54387963,0.10420044,0.91100401999999,0.00081049825827919,0.0071376909408802,2012-11
97,2012.0,10,128.56343482,127.63287561,0.25665531999999,0.93954549999999,0.0020003254777351,0.0074159034195742,2012-10
98,2012.0,09,128.3067795,126.69333011,0.28664939000001,0.85870157000001,0.0022390962245836,0.0068240481969321,2012-09
99,2012.0,08,128.02013011,125.83462854,0.39336946,0.74630289,0.0030821863533681,0.0059662073668503,2012-08
100,2012.0,07,127.62676065,125.08832565,0.76575294999999,0.61595994,0.0060361569238898,0.0049485677924294,2012-07
101,2012.0,06,126.8610077,124.47236571,1.40901241,0.6219224800000099,0.011231486647485,0.0050215603899378,2012-06
102,2012.0,05,125.45199529,123.85044323,1.82049052,0.78345838,0.014725134369162,0.0063661133890208,2012-05
103,2012.0,04,123.63150477,123.06698485,1.8459553,0.71780844,0.015157424735804,0.0058668841185704,2012-04
104,2012.0,03,121.78554947,122.34917641,1.25326762,0.5532705,0.01039777560637,0.0045426034304374,2012-03
105,2012.0,02,120.53228185,121.79590591,0.16304265000001,0.11430808,0.0013545208982264,0.0009394031804192699,2012-02
106,2012.0,01,120.3692392,121.68159783,-0.68697667000001,0.028296519999997997,-0.0056748566363394,0.00023259968858463,2012-01
107,2012.0,12,121.05621587,121.65330131,-0.84002106,-0.032144090000003,-0.0068912796748794,-0.00026415722845357,2011-12
108,2012.0,11,121.89623693,121.68544540000002,-0.73471011,0.011547440000001002,-0.0059912291940496,9.4904825057855e-05,2011-11
109,2011.0,10,122.63094704,121.67389796,-0.74612154,-0.11175116999998999,-0.0060474896071648,-0.0009176054058775199,2011-10
110,2011.0,09,123.37706858,121.78564913,-0.65429045,-0.1372628,-0.0052752018128073,-0.0011258162869241,2011-09
111,2011.0,08,124.03135903,121.92291193,-0.49080121999999,-0.18328244,-0.0039414769147486,-0.0015010085356082,2011-08
112,2011.0,07,124.52216025,122.10619437,-0.05798815,-0.2299467,-0.00046546862196545995,-0.0018796301566225,2011-07
113,2011.0,06,124.58014840000001,122.33614107,0.4092442,-0.32120697000001003,0.0032958139641219,-0.0026187340190598,2011-06
114,2011.0,05,124.17090420000001,122.65734804,0.54602127,-0.46577813,0.0044167586416172,-0.0037830271573586,2011-05
115,2011.0,04,123.62488293,123.12312617,0.48245734,-0.61137536,0.0039178807603346,-0.0049410257643602,2011-04
116,2011.0,03,123.14242559,123.73450153,0.066483149999996,-0.59868605999999,0.00054017989772784,-0.0048151750277184,2011-03
117,2011.0,02,123.07594244,124.33318759,-0.60683035999999,-0.6369483500000099,-0.0049063450492112,-0.0050968044902009,2011-02
118,2011.0,01,123.6827728,124.97013594,-1.14122268,-0.40854374,-0.009142654628315,-0.0032584785630437,2011-01
119,2011.0,12,124.82399548,125.37867968,-1.2800465,-0.42198753,-0.010150717454426,-0.0033544140850666,2010-12
120,2011.0,11,126.10404198,125.80066721,-1.12504194,-0.36827529,-0.0088426474932996,-0.0029189060532864,2010-11
121,2010.0,10,127.22908392,126.1689425,-1.15535416,-0.5184673,-0.0089991760471785,-0.0040924927016702,2010-10
122,2010.0,09,128.38443808,126.6874098,-1.30530981,-0.80674134,-0.010064865043204,-0.0063276733307878,2010-09
123,2010.0,08,129.68974789,127.49415114,-1.18202243,-0.90532578000001,-0.0090319128954226,-0.0070508525557630005,2010-08
124,2010.0,07,130.87177032,128.39947692,-0.80356449999999,-1.02932135,-0.0061026197586546,-0.0079528000240929,2010-07
125,2010.0,06,131.67533482,129.42879827,-0.18219331,-0.90809800000002,-0.0013817437091675,-0.0069673133701055,2010-06
126,2010.0,05,131.85752813,130.33689627,0.45043548999999,-0.58950469999999,0.0034277867423336,-0.0045025655301948,2010-05
127,2010.0,04,131.40709264,130.92640097,0.65396156,-0.44587551000000997,0.005001498278461,-0.0033939848036955,2010-04
128,2010.0,03,130.75313108,131.37227648,0.54643238,-0.10587733999997999,0.0041966533631192,-0.0008052846569851401,2010-03
129,2010.0,02,130.2066987,131.47815382,-0.059506679999998,-0.087917990000022,-0.00045680827062099996,-0.00066824211432708,2010-02
130,2010.0,01,130.26620538,131.56607181,-0.86965906,-0.12817056,-0.0066317407805544,-0.00097324345919316,2010-01
131,2010.0,12,131.13586444,131.69424237,-1.04008803,-0.1309205,-0.0078689656519484,-0.00099313740373763,2009-12
132,2010.0,11,132.17595247,131.82516287,-0.63003875000001,0.18337935000002,-0.0047440536696595,0.0013930178177217,2009-11
